Player,Cl,Ht,Pos,G,BLKS,BKPG,AST,FGM,3FG,FT,PTS,PPG,FTA,FT%,ORebs,DRebs,REB,ST,3PG,STPG,3FGA,RPG,MP,FGA,Trpl Dbl,FG%,3FG%,MPG,APG,Dbl Dbl,TO,Ratio
"Ian Burke, Portland St. (Big Sky)",,,,,,,,,,,,,,,,,,44.0,,1.63,,,,,,,,,,,,
"Myles Cale, Seton Hall (Big East)",,,,,,,,,,,,,,,,,,44.0,,1.52,,,,,,,,,,,,
"Conley Garrison, Furman (SoCon)",,,,,,,,,,,,,,,,,,44.0,2.21,1.33,173.0,,1032:47,,,,,,,,,
"Cameron Matthews, Mississippi St. (SEC)",,,,,,,,,,,,,,,,,,44.0,,1.33,,,,,,,,,,,,
"Marek Nelson, UTRGV (WAC)",,,,,,,,,,,,,,,,,,44.0,,1.52,,,,,,,,,,,,
"Myreon Jones, Florida (SEC)",,,,,,,,,,,,,,,,,,43.0,1.88,1.3,193.0,,,,,,,,,,,
"Gabe Kalscheur, Iowa St. (Big 12)",,,,,,,,,,,,,,,,,,43.0,,,,,1081:07,,,,,,,,,
"David McCoy, Mississippi Val. (SWAC)",,,,,,,,,,,,,,,,,,43.0,,1.59,,,,,,,,,,,,
"Chase Audige, Northwestern (Big Ten)",,,,,,,,,,,,,,,,,,42.0,,1.75,,,,,,,,,,,,
"Zach Cooks, Hofstra (CAA)",,,,,,,,,,,,,,,,,,42.0,,1.62,,,,,,,,,3.0,,41.0,1.9
"Nick Hopkins, Siena (MAAC)",,,,,,,,,,,,,,,,,,42.0,,1.5,,,,,,,,,,,,
"Koby Jeffries, UT Martin (OVC)",,,,,,,,,,,,,,,,,,42.0,,1.4,,,,,,,,,,,,
"Connor Kochera, William & Mary (CAA)",,,,,,,,,,,,,,,,,,42.0,,1.31,,,1033:54,,,,,32:19,,,,
"Ant Nelson, Manhattan (MAAC)",,,,,,,,,,,,,,,,,,42.0,,1.62,,,,,,,,,,,,
"Trey Robinson, Northern Ky. (Horizon)",,,,,,,,,,,,,,,,,,42.0,,1.35,,,,,,,,,,,,
"Luis Rodriguez, Ole Miss (SEC)",,,,,,,,,,,,,,,,,,42.0,,1.31,,,,,,,,,,,,
"Kenny Strawbridge, Alabama St. (SWAC)",,,,,,,,,,,,,,,,,,42.0,,1.35,,,,,,,,,,,,
"Stacy Beckton Jr., American (Patriot)",,,,,,,,,,,,,,,,,,41.0,,1.37,,,,346.0,,,,33:53,,,,
"Deonte Billups, Purdue Fort Wayne (Horizon)",,,,,,,,,,,,,,,,,,41.0,2.12,1.28,167.0,,,,,,,,,,,
"Shawndarius Cowart, Grambling (SWAC)",,,,,,,,,,,,,,,,,,41.0,,1.28,,,,,,,,,,,,
"RayQuan Evans, Florida St. (ACC)",,,,,,,,,,,,,,,,,,41.0,,1.52,,,,,,,,,3.2,,43.0,2.0
"Kevin McCullar, Texas Tech (Big 12)",,,,,,,,,,,,,,,,,,41.0,,1.41,,,,,,,,,3.1,,57.0,1.56
"Michael Moreno, Eastern Ky. (ASUN)",,,,,,,,,,,,,,,,,,41.0,2.16,1.32,187.0,,,,,,,,,,,
"Brandon Slater, Villanova (Big East)",,,,,,,,,,,,,,,,,,41.0,,,,,1137:26,,,,,,,,,
"DeShaun Wade, Longwood (Big South)",,,,,,,,,,,,,,,,,,41.0,2.24,,165.0,,,,,,,,,,,
"Mwani Wilkinson, LSU (SEC)",,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,
"Ezekiel Alley, Portland St. (Big Sky)",,,,,,,,,,,,,,,,,,40.0,,1.29,,,,,,,,,,,,
"Jamal Bey, Washington (Pac-12)",,,,,,,,,,,,,,,,,,40.0,,1.29,,,,,,,,,,,,
"Isaiah Burke, Morgan St. (MEAC)",,,,,,,,,,,,,,,,,,40.0,,1.48,,,,,,,,,,,,
"Ayinde Hikim, UMass Lowell (America East)",,,,,,,,,,,,,,,,,,40.0,,1.33,,,,,,,,,,,,
"Brycen Long, Houston Baptist (Southland)",,,,,,,,,,,,,,,,,,40.0,2.03,1.38,156.0,,,,,,,,,,,
"Javion May, Sam Houston (WAC)",,,,,,,,,,,,,,,,,,40.0,,1.33,,,,,,,,,,,,
"Duke Miles, Troy (Sun Belt)",,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,
"Tevin Olison, Youngstown St. (Horizon)",,,,,,,,,,,,,,,,,,40.0,1.97,,183.0,,1044:22,353.0,,,,,,,,
"Dominick Pickett, UC Riverside (Big West)",,,,,,,,,,,,,,,,,,40.0,1.96,1.54,,,,,,,,32:47,,,,
"Kyle Rose, Fordham (Atlantic 10)",,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,
"Luke Smith, Belmont (OVC)",,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,
"Anton Watson, Gonzaga (WCC)",,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,
"Jesse Edwards, Syracuse (ACC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stephane Ingo, Maine (America East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tariq Balogun, Eastern Ky. (ASUN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dishon Jackson, Washington St. (Pac-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liam Robbins, Vanderbilt (SEC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dylan Robertson, Bethune-Cookman (SWAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warren Washington, Nevada (Mountain West)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
"Jeff Woodward, Colgate (Patriot)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jeremiah Oden, Wyoming (Mountain West)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Efton  Reid, LSU (SEC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akok Akok, UConn (Big East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noah Gurley, Alabama (SEC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethan Henderson, Texas A&M (SEC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hunter Marks, Hartford (America East)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Will McNair Jr., New Mexico St. (WAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olivier Nkamhoua, Tennessee (SEC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eliel Nsoseme, Georgia St. (Sun Belt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
"Corey Walker Jr., South Fla. (AAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atiki Ally Atiki, BYU (WCC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valentin Catt, Lamar University (WAC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xavier Cork, TCU (Big 12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jordan Geronimo, Indiana (Big Ten)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Emmanuel Izunabor, High Point (Big South)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Josh LeBlanc, UAB (C-USA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omar Payne, Illinois (Big Ten)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethan Price, Eastern Wash. (Big Sky)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaden Seymour, ETSU (SoCon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Qudus Wahab, Maryland (Big Ten)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nate Watson, Providence (Big East)",,,,,,,,,,,,,,,,,,,,,,,,,,54.8,,,,,,
"Jeameril Wilson, Lehigh (Patriot)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jason Roche, The Citadel (SoCon)",,,,,,,,,,,,,,,,,,,3.55,,277.0,,1121:29,,,,39.7,36:11,,,,
"Kaiden Rice, Georgetown (Big East)",,,,,,,,,,,,,,,,,,,3.07,,250.0,,,,,,36.8,,,,,
"Darin Green Jr., UCF (AAC)",,,,,,,,,,,,,,,,,,,3.0,,226.0,,,,,,38.5,,,,,
"Jalen Ray, Hofstra (CAA)",,,,,,,,,,,,,,,,,,,2.97,,224.0,,,,,,39.7,32:23,,,,
"Dru Kuxhausen, Northern Colo. (Big Sky)",,,,,,,,,,,,,,,,,,,2.95,,266.0,,1068:49,,,,42.1,,,,,
"Adham Eleeda, Bryant (NEC)",,,,,,,,,,,,,,,,,,,2.91,,280.0,4.34,,,,,33.2,,,,,
"Jarius Hicklen, North Florida (ASUN)",,,,,,,,,,,,,,,,,,,2.9,,217.0,,,,,,40.1,,,,,
"Tahlik Chavez, Charleston So. (Big South)",,,,,,,,,,,,,,,,,,,2.87,,243.0,,,,,,36.6,,,,,
"William FitzPatrick, Sacramento St. (Big Sky)",,,,,,,,,,,,,,,,,,,2.82,,194.0,,,,,,40.7,32:56,,,,
"Reyne Smith, Col. of Charleston (CAA)",,,,,,,,,,,,,,,,,,,2.81,,240.0,,,,,,37.5,,,,,
"Drake Jeffries, Wyoming (Mountain West)",,,,,,,,,,,,,,,,,,,2.76,,230.0,4.85,1245:39,,,,40.9,36:38,,,,
"David Shriver, Hartford (America East)",,,,,,,,,,,,,,,,,,,2.75,,213.0,,,,,,41.3,,,,,
"Keaston Willis, Louisiana Tech (C-USA)",,,,,,,,,,,,,,,,,,,2.74,,237.0,,,349.0,,,39.2,,,,,
"Hunter McIntosh, Elon (CAA)",,,,,,,,,,,,,,,,,,,2.72,,231.0,,1057:07,378.0,,,37.7,33:02,,,,
"Taylor Funk, Saint Joseph's (Atlantic 10)",,,,,,,,,,,,,,,,,,,2.71,,204.0,5.14,,,,,37.3,36:13,,3.0,,
"DeVon Cooper, George Mason (Atlantic 10)",,,,,,,,,,,,,,,,,,,2.63,,193.0,,,,,,40.9,32:56,,,,
"Patrick Good, Winthrop (Big South)",,,,,,,,,,,,,,,,,,,2.63,1.3,186.0,,,,,,42.5,,,,,
"Vance Jackson, East Carolina (AAC)",,,,,,,,,,,,,,,,,,,2.63,,194.0,4.67,,,,,40.7,,,5.0,,
"Demaree King, Jacksonville St. (ASUN)",,,,,,,,,,,,,,,,,,,2.62,,186.0,,,,,,45.2,,,,,
"Tray Hollowell, Morehead St. (OVC)",,,,,,,,,,,,,,,,,,,2.62,,236.0,,,,,,37.7,,,,,
"Jack Ferguson, Colgate (Patriot)",,,,,,,,,,,,,,,,,,,2.6,,217.0,,1069:53,,,,41.9,,,,,
"Jeremiah Davenport, Cincinnati (AAC)",,,,,,,,,,,,,,,,,,,2.59,,231.0,,,366.0,,,35.9,,,3.0,,
"Tajion Jones, UNC Asheville (Big South)",,,,,,,,,,,,,,,,,,,2.59,,211.0,,1060:49,,,,39.3,33:09,,,,
"Kellan Grady, Kentucky (SEC)",,,,,,,,,,,,,,,,,,,2.59,,211.0,,1121:13,,,,41.7,32:59,,,,
"Josiah Strong, Illinois St. (MVC)",,,,,,,,,,,,,,,,,,,2.58,,208.0,,1075:23,,,,40.9,32:35,,,,
"Keegan McDowell, Liberty (ASUN)",,,,,,,,,,,,,,,,,,,2.57,,187.0,,,,,,41.2,,,,,
"Al-Amir Dawes, Clemson (ACC)",,,,,,,,,,,,,,,,,,,2.55,,211.0,,,,,,39.8,,,,,
"Coban Porter, Denver (Summit League)",,,,,,,,,,,,,,,,,,,2.54,,172.0,,,,,,41.3,,,,,
"Jordan Bohannon, Iowa (Big Ten)",,,,,,,,,,,,,,,,,,,2.53,,238.0,,,,,,38.2,,,,,
"Kino Lilly Jr., Brown (Ivy League)",,,,,,,,,,,,,,,,,,,2.52,1.28,183.0,,,,,,39.9,,,,,
"Luke Bumbalough, Ball St. (MAC)",,,,,,,,,,,,,,,,,,,2.52,,219.0,,1054:23,,,,35.6,34:01,,,,
"Drew Friberg, Princeton (Ivy League)",,,,,,,,,,,,,,,,,,,2.5,,189.0,,,,,,39.7,,,,,
"Mardrez McBride, North Texas (C-USA)",,,,,,,,,,,,,,,,,,,2.47,,203.0,,1097:25,,,,,34:18,,,,
"Jeremiah Gambrell, Prairie View (SWAC)",,,,,,,,,,,,,,,,,,,2.44,,182.0,,,,,,,,,,,
"DJ Horne, Arizona St. (Pac-12)",,,,,,,,,,,,,,,,,,,2.43,,203.0,,,,,,,,,,,
"Ryan Burkhardt, Southeastern La. (Southland)",,,,,,,,,,,,,,,,,,,2.41,,191.0,,,,,,,,,,,
"Jalen Gibbs, Jacksonville St. (ASUN)",,,,,,,,,,,,,,,,,,,2.41,,191.0,,,,,,,,,,,
"Demarkus Lampley, Sam Houston (WAC)",,,,,,,,,,,,,,,,,,,2.36,,219.0,,,,,,,,,,,
"Cameron Healy, Central Mich. (MAC)",,,,,,,,,,,,,,,,,,,2.36,,181.0,,,,,,,,,,,
"Jarod Lucas, Oregon St. (Pac-12)",,,,,,,,,,,,,,,,,,,2.35,,189.0,,1046:58,,,,,33:46,,,,
"Liam Murphy, Columbia (Ivy League)",,,,,,,,,,,,,,,,,,,2.35,,,,,,,,,32:28,,,,
"Nik Mains, Northern Ariz. (Big Sky)",,,,,,,,,,,,,,,,,,,2.34,,187.0,,1061:37,,,,,33:11,,,,
"Dhieu Deing, UTSA (C-USA)",,,,,,,,,,,,,,,,,,,2.32,1.32,194.0,,,,,,,,,,,
"Jaylen Minnett, Missouri St. (MVC)",,,,,,,,,,,,,,,,,,,2.31,,185.0,,,,,,,,,,,
"Collin Cooper, Central Ark. (ASUN)",,,,,,,,,,,,,,,,,,,2.31,,183.0,,,,,,,,,,,
"Hunter Cattoor, Virginia Tech (ACC)",,,,,,,,,,,,,,,,,,,2.31,,199.0,,1183:22,,,,,32:52,,,,
"Tyrell Roberts, Washington St. (Pac-12)",,,,,,,,,,,,,,,,,,,2.31,,241.0,,1059:45,392.0,,,,,,,,
"Keith Haymon, Northern Ariz. (Big Sky)",,,,,,,,,,,,,,,,,,,2.29,,177.0,,,,,,,,,,,
"Omar Silverio, Hofstra (CAA)",,,,,,,,,,,,,,,,,,,2.28,,204.0,,,,,,,,,,,
"Ryan Langborg, Princeton (Ivy League)",,,,,,,,,,,,,,,,,,,2.28,,163.0,,,,,,,,,,,
"Keller Boothby, Cornell (Ivy League)",,,,,,,,,,,,,,,,,,,2.27,,121.0,,,,,,,,,,,
"Ja'Monta Black, Missouri St. (MVC)",,,,,,,,,,,,,,,,,,,2.26,,199.0,,,,,,,,,,,
"Russell Harrison, ULM (Sun Belt)",,,,,,,,,,,,,,,,,,,2.23,,180.0,4.65,,,,,,32:34,,5.0,,
"Jaron Pierre Jr., Southern Miss. (C-USA)",,,,,,,,,,,,,,,,,,,2.22,,178.0,,,,,,,,,,,
"Houston Mallette, Pepperdine (WCC)",,,,,,,,,,,,,,,,,,,2.22,,186.0,,,356.0,,,,,,,,
"Jason Gibson, Towson (CAA)",,,,,,,,,,,,,,,,,,,2.2,,154.0,,,,,,,,,,,
"Myles Stute, Vanderbilt (SEC)",,,,,,,,,,,,,,,,,,,2.19,,183.0,,,,,,,,,,,
"Marco Foster, New Hampshire (America East)",,,,,,,,,,,,,,,,,,,2.19,,132.0,,,,,,,,,,,
"Latrell Jossell, SFA (WAC)",,,,,,,,,,,,,,,,,,,2.19,,189.0,,,,,,,,,,,
"Zach Scott, McNeese (Southland)",,,,,,,,,,,,,,,,,,,2.19,,172.0,,,,,,,,,,,
"Kayo Goncalves, South Alabama (Sun Belt)",,,,,,,,,,,,,,,,,,,2.18,,201.0,,,,,,,,,,,
"Zach Hicks, Temple (AAC)",,,,,,,,,,,,,,,,,,,2.18,,163.0,,,,,,,,,,,
"Nate Johnson, Xavier (Big East)",,,,,,,,,,,,,,,,,,,2.16,,184.0,,,,,,,,,,,
"Tyrone Perry, Lafayette (Patriot)",,,,,,,,,,,,,,,,,,,2.14,,163.0,,,,,,,33:32,3.0,,40.0,2.1
"A.J. Reeves, Providence (Big East)",,,,,,,,,,,,,,,,,,,2.14,,161.0,,,,,,,,,,,
"Seth Lundy, Penn St. (Big Ten)",,,,,,,,,,,,,,,,,,,2.13,,184.0,,,,,,,32:12,,,,
"Trey Diggs, Bowling Green (MAC)",,,,,,,,,,,,,,,,,,,2.13,,192.0,,,,,,,,,,,
"Luke Frampton, Western Ky. (C-USA)",,,,,,,,,,,,,,,,,,,2.13,,171.0,,,,,,,,,,,
"Brion Whitley, Southern U. (SWAC)",,,,,,,,,,,,,,,,,,,2.13,,184.0,,,,,,,,,,,
"Noah Locke, Louisville (ACC)",,,,,,,,,,,,,,,,,,,2.12,,199.0,,,,,,,,,,,
"Emmanuel Bandoumel, SMU (AAC)",,,,,,,,,,,,,,,,,,,2.12,,199.0,,,,,,,,,,,
"Dylan O'Hearn, NJIT (America East)",,,,,,,,,,,,,,,,,,,2.12,,,,,,,,,35:53,,,,
"Trevian Tennyson, A&M-Corpus Christi (Southland)",,,,,,,,,,,,,,,,,,,2.11,,201.0,,,366.0,,,,,,,,
"Josh Nickelberry, La Salle (Atlantic 10)",,,,,,,,,,,,,,,,,,,2.1,,169.0,,,,,,,,,,,
"Eric Lovett, FIU (C-USA)",,,,,,,,,,,,,,,,,,,2.1,,185.0,,,,,,,,,,,
"Ian Krishnan, Central Conn. St. (NEC)",,,,,,,,,,,,,,,,,,,2.09,,184.0,,,,,,,,,,,
"L.J. Owens, UMBC (America East)",,,,,,,,,,,,,,,,,,,2.09,,156.0,,,,,,,,,,,
"Kevion Taylor, Valparaiso (MVC)",,,,,,,,,,,,,,,,,,,2.09,,175.0,,1105:41,,,,,34:33,,,,
"Isaiah Mucius, Wake Forest (ACC)",,,,,,,,,,,,,,,,,,,2.09,,197.0,,,,,,,,,,,
"Marquis Godwin, Hampton (Big South)",,,,,,,,,,,,,,,,,,,2.07,,,,,,,,,,,,,
"Tariq Silver, Austin Peay (OVC)",,,,,,,,,,,,,,,,,,,2.07,,175.0,,,,,,,,,,,
"Trae Berhow, UNI (MVC)",,,,,,,,,,,,,,,,,,,2.07,,159.0,4.5,1025:14,,,,,34:10,,,,
"Blake Lampman, Oakland (Horizon)",,,,,,,,,,,,,,,,,,,2.06,,184.0,,,,,,,,,,,
"Robby Beasley, Montana (Big Sky)",,,,,,,,,,,,,,,,,,,2.06,,179.0,,,,,,,,,,,
"Dre Marin, Southern Utah (Big Sky)",,,,,,,,,,,,,,,,,,,2.06,,164.0,,1032:57,,,,,32:17,,,,
"Allen Powell, Rider (MAAC)",,,,,,,,,,,,,,,,,,,2.06,,189.0,,1116:07,362.0,,,,33:49,,,,
"Flynn Cameron, UC Riverside (Big West)",,,,,,,,,,,,,,,,,,,2.04,,164.0,,,,,,,,,,,
"Tyler Bertram, Binghamton (America East)",,,,,,,,,,,,,,,,,,,2.03,,151.0,,,,,,,,,,,
"John Carter Jr., Navy (Patriot)",,,,,,,,,,,,,,,,,,,2.03,,176.0,,,354.0,,,,,,,,
"Michael Jones, Davidson (Atlantic 10)",,,,,,,,,,,,,,,,,,,2.03,,164.0,,1055:31,,,,,,,,,
"Gabe Brown, Michigan St. (Big Ten)",,,,,,,,,,,,,,,,,,,2.03,,191.0,,1042:52,,,,,,,,,
"Dane Goodwin, Notre Dame (ACC)",,,,,,,,,,,,,,,,,,,2.0,,153.0,,1170:11,351.0,,50.4,,33:26,,,,
"Rasir Bolton, Gonzaga (WCC)",,,,,,,,,,,,,,,,,,,2.0,,139.0,,,,,,,,,,,
"Spencer Jones, Stanford (Pac-12)",,,,,,,,,,,,,,,,,,,2.0,,165.0,,,,,,,,,,,
"KJ Jenkins, New Mexico (Mountain West)",,,,,,,,,,,,,,,,,,,2.0,,174.0,,,,,,,,,,,
"Josh Morgan, UIW (Southland)",,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,32:11,,,,
"Alex Ducas, Saint Mary's (CA) (WCC)",,,,,,,,,,,,,,,,,,,1.97,,173.0,,,,,,,,,,,
"Jonah Charles, Penn (Ivy League)",,,,,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,
"Devin Gordon, Mississippi Val. (SWAC)",,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,
"Greg Jones, Lipscomb (ASUN)",,,,,,,,,,,,,,,,,,,1.94,,187.0,,,,,,,,,,,
"Jacob Rigoni, Quinnipiac (MAAC)",,,,,,,,,,,,,,,,,,,1.94,,172.0,,,,,,,,,,,
"Erik Stevenson, South Carolina (SEC)",,,,,,,,,,,,,,,,,,,1.94,,180.0,,,,,,,,,,,
"D.J. Wilkins, Drake (MVC)",,,,,,,,,,,,,,,,,,,1.94,,154.0,,,,,,,,,,,
"Jake Wojcik, Fairfield (MAAC)",,,,,,,,,,,,,,,,,,,1.94,,174.0,,,,,,,,,,,
"Rashad Smith, Idaho (Big Sky)",,,,,,,,,,,,,,,,,,,1.93,,132.0,,,,,,,,,,,
"Ricardo Wright, Marist (MAAC)",,,,,,,,,,,,,,,,,,,1.93,,155.0,,,360.0,,,,,,,,
"Jordan Whitfield, Campbell (Big South)",,,,,,,,,,,,,,,,,,,1.93,,,,,,,,,34:25,,,,
"Kam Farris, Robert Morris (Horizon)",,,,,,,,,,,,,,,,,,,1.92,,,,,,,,,,,,,
"Jordan Henderson, Canisius (MAAC)",,,,,,,,,,,,,,,,,,,1.91,,185.0,,1058:02,,,,,33:04,,,,
"Noah Baumann, Georgia (SEC)",,,,,,,,,,,,,,,,,,,1.9,,145.0,,,,,,,,,,,
"Trevon Faulkner, Northern Ky. (Horizon)",,,,,,,,,,,,,,,,,,,1.9,,158.0,,,,,,,,,,,
"Matthew Murrell, Ole Miss (SEC)",,,,,,,,,,,,,,,,,,,1.9,,153.0,,,,,,,,,,,
"Spencer Rodgers, Kennesaw St. (ASUN)",,,,,,,,,,,,,,,,,,,1.9,,170.0,,,,,,,,,,,
"Giovanni Santiago, Kent St. (MAC)",,,,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,
"Alex O'Connell, Creighton (Big East)",,,,,,,,,,,,,,,,,,,1.89,,202.0,4.91,1139:13,351.0,,,,32:33,,,,
"Luke Avdalovic, Pacific (WCC)",,,,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,
"Brandon Mahan, UCF (AAC)",,,,,,,,,,,,,,,,,,,1.88,1.56,,,,,,,,,,,,
"Ryan Allen, Delaware (CAA)",,,,,,,,,,,,,,,,,,,1.88,,186.0,,,,,,,,,,,
"Daivien Williamson, Wake Forest (ACC)",,,,,,,,,,,,,,,,,,,1.88,,157.0,,,,,,,,,,,
"Carlos Marshall Jr., Tennessee St. (OVC)",,,,,,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,
"Leo O'Boyle, Lafayette (Patriot)",,,,,,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,
"Nikola Djogo, Northeastern (CAA)",,,,,,,,,,,,,,,,,,,1.86,,,5.21,,,,,,,,,,
"Cory Hightower, Winthrop (Big South)",,,,,,,,,,,,,,,,,,,1.86,,,4.68,,,,,,,,,,
"Louis Lesmond, Harvard (Ivy League)",,,,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,
"Bobby Planutis, Purdue Fort Wayne (Horizon)",,,,,,,,,,,,,,,,,,,1.85,,161.0,,,,,,,,,,,
"Kashawn Charles, Eastern Ill. (OVC)",,,,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,
"Dedric Boyd, Tennessee St. (OVC)",,,,,,,,,,,,,,,,,,,1.84,,173.0,,,,,,,,,,,
"Jamir Harris, Seton Hall (Big East)",,,,,,,,,,,,,,,,,,,1.84,,160.0,,,,,,,,,,,
"Gabe Madsen, Utah (Pac-12)",,,,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,
"Jacob Grandison, Illinois (Big Ten)",,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,
"Miryne Thomas, Ball St. (MAC)",,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,
"Tyler Patterson, Montana St. (Big Sky)",,,,,,,,,,,,,,,,,,,1.83,,170.0,,,,,,,,,,,
"Kentrell Garnett, Louisiana (Sun Belt)",,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,
"Devon Dunn, Fairleigh Dickinson (NEC)",,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,
"Larry Moreno, St. Francis Brooklyn (NEC)",,,,,,,,,,,,,,,,,,,1.82,,,,,,,,,,,,,
"AJ Griffin, Duke (ACC)",,,,,,,,,,,,,,,,,,,1.82,,159.0,,,,,,,,,,,
"Joe Petrakis, Western Caro. (SoCon)",,,,,,,,,,,,,,,,,,,1.81,,168.0,,,,,,,,,,,
"Zion Styles, UMES (MEAC)",,,,,,,,,,,,,,,,,,,,1.77,,,,,,,,,,,,
"Nelson Phillips, Georgia St. (Sun Belt)",,,,,,,,,,,,,,,,,,,,1.59,,,,,,,,,,,,
"Caleb Mills, Florida St. (ACC)",,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,
"Corey Perkins, Delaware St. (MEAC)",,,,,,,,,,,,,,,,,,,,1.48,,,,,,,,,3.2,,64.0,1.16
"Anthony Polite, Florida St. (ACC)",,,,,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,,
"Nicolas Elame, UT Arlington (Sun Belt)",,,,,,,,,,,,,,,,,,,,1.44,,,,,,,,,,,,
"Madut Akec, Detroit Mercy (Horizon)",,,,,,,,,,,,,,,,,,,,1.38,,4.92,,,,,,,,6.0,,
"Kevon Voyles, UMES (MEAC)",,,,,,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,
"Justin Roberts, Georgia St. (Sun Belt)",,,,,,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,
"DeAndre Williams, Memphis (AAC)",,,,,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,
"Matt Cerruti, UAlbany (America East)",,,,,,,,,,,,,,,,,,,,1.34,,,,,,,,32:24,,,,
"Justin Amadi, James Madison (CAA)",,,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,
"Primo Spears, Duquesne (Atlantic 10)",,,,,,,,,,,,,,,,,,,,1.3,,,,379.0,,,,32:14,3.0,,62.0,1.47
"Jalen Hawkins, Norfolk St. (MEAC)",,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,
"Isaiah Palermo, Little Rock (Sun Belt)",,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,
"Bez Mbeng, Yale (Ivy League)",,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,
"Jeremiah Bailey, Pacific (WCC)",,,,,,,,,,,,,,,,,,,,1.28,,4.76,,,,,,,,3.0,,
"Kamar Robertson, Mercer (SoCon)",,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,
"Koby Brea, Dayton (Atlantic 10)",,,,,,,,,,,,,,,,,,,,,149.0,,,,,,,,,,,
"Nahiem Alleyne, Virginia Tech (ACC)",,,,,,,,,,,,,,,,,,,,,166.0,,1120:50,,,,,,,,,
"Carvell Teasett, Northwestern St. (Southland)",,,,,,,,,,,,,,,,,,,,,165.0,,,,,,,,,,,
"Bryan Trimble Jr., Akron (MAC)",,,,,,,,,,,,,,,,,,,,,180.0,,,,,,,,,,,
"Caleb Houstan, Michigan (Big Ten)",,,,,,,,,,,,,,,,,,,,,169.0,,1086:32,,,,,,,,,
